Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Bilal El Khannouss,443,10,10,3,1,17,37.78,22,55.56,5,40.74
André,699,11,28,6,9,45,65.22,46,25.0,1,63.01
Philip Billing,68,5,8,1,1,11,78.57,13,50.0,2,72.22
Ross Barkley,446,12,9,5,4,15,46.88,19,80.0,4,51.35
Mateus Fernandes,1059,14,36,7,13,76,53.15,80,50.0,4,52.98
Samuel Edozie,64,2,3,0,0,6,60.0,6,0.0,0,60.0
Billy Gilmour,97,2,3,0,1,7,63.64,7,0.0,0,63.64
Lucas Paquetá,1037,15,25,8,18,48,41.74,63,37.5,15,40.65
Pape Matar Sarr,762,15,24,12,10,45,52.94,59,53.85,14,53.15
Nicolás Domínguez,703,13,27,15,14,35,50.72,43,53.33,8,51.19
Jefferson Lerma,667,11,10,13,14,21,51.22,37,43.24,16,47.44
Joelinton,1235,15,32,12,23,59,39.33,89,60.0,30,44.5
John McGinn,901,13,11,3,3,47,55.95,54,53.85,7,55.67
Saša Lukić,791,10,22,13,8,35,47.3,42,70.0,7,50.0
Matt Doherty,387,8,10,3,10,15,68.18,25,71.43,10,69.44
Yves Bissouma,749,12,26,10,16,45,55.56,47,28.57,2,53.41
Mathias Jensen,481,8,4,4,6,17,51.52,20,60.0,3,52.63
João Gomes,1273,15,49,11,10,76,46.34,80,23.53,4,44.2
Adam Lallana,316,8,6,4,5,18,46.15,19,33.33,1,45.24
Tom Cairney,182,10,5,3,1,11,64.71,14,50.0,3,60.87
Joe Aribo,821,14,15,9,11,40,50.63,50,76.92,10,54.35
Daichi Kamada,636,11,19,7,8,32,44.44,33,20.0,1,42.86
Anthony Elanga,808,15,8,3,13,28,45.9,38,43.48,10,45.24
Crysencio Summerville,601,14,10,0,6,32,49.23,33,9.09,1,43.42
Timo Werner,382,12,2,1,4,14,38.89,14,0.0,0,37.84
Will Hughes,803,13,32,6,5,44,45.36,50,50.0,6,45.87
James Garner,256,4,10,4,7,12,52.17,13,33.33,1,50.0
Jack Taylor,282,10,5,3,11,9,37.5,14,83.33,5,46.67
Joe Willock,453,12,12,2,3,24,43.64,25,14.29,1,40.32
Ramón Sosa,156,10,3,2,2,9,45.0,10,20.0,1,40.0
Jesper Lindstrøm,498,10,15,3,3,21,35.59,24,75.0,3,38.1
Lucas Bergvall,87,9,6,2,0,12,50.0,13,25.0,1,46.43
Manuel Ugarte,510,10,25,7,7,38,50.67,44,42.86,6,49.44
Jack Clarke,481,13,17,3,5,44,59.46,47,37.5,3,57.32
Julio Enciso,98,7,0,0,0,9,50.0,11,66.67,2,52.38
Conor Chaplin,489,13,9,2,1,17,60.71,18,11.11,1,48.65
Alejandro Garnacho,940,15,13,6,7,40,39.6,41,7.69,1,35.96
Sean Longstaff,675,14,27,5,4,31,55.36,38,50.0,7,54.29
Antony,45,3,2,1,0,3,42.86,3,0.0,0,42.86
Flynn Downes,1132,13,28,18,22,50,45.05,60,62.5,10,47.24
Yehor Yarmoliuk,325,11,11,6,9,17,38.64,20,60.0,3,40.82
Edson Álvarez,634,11,18,10,13,31,51.67,44,65.0,13,55.0
Andy Irving,55,5,4,0,2,4,40.0,4,0.0,0,36.36
Guido Rodríguez,843,14,26,10,18,33,50.77,40,63.64,7,52.63
Raheem Sterling,152,6,1,0,0,7,38.89,7,0.0,0,35.0
Kasey McAteer,265,8,9,0,5,17,53.13,21,26.67,4,44.68
Ryan Trevitt,9,1,1,0,0,1,100.0,1,0.0,0,100.0
Nathan Broadhead,35,2,2,0,0,4,80.0,4,0.0,0,66.67
Edmond-Paris Maghoma,27,2,0,1,0,1,50.0,1,0.0,0,50.0
Wataru Endo,35,6,3,1,1,5,62.5,5,0.0,0,55.56
Leon Bailey,736,14,3,2,6,24,35.29,27,33.33,3,35.06
Nélson Semedo,1051,12,28,6,44,51,52.04,68,54.84,17,52.71
Carlos Soler,551,12,6,2,5,15,28.85,19,44.44,4,31.15
Tommy Doyle,293,11,4,2,5,11,57.89,12,50.0,1,57.14
Simon Adingra,347,10,9,4,1,15,35.71,16,50.0,1,36.36
Wilson Odobert,162,3,5,0,1,10,45.45,13,100.0,3,52.0
Jens Cajuste,474,9,9,3,5,18,47.37,19,12.5,1,41.3
Fabio Carvalho,401,14,13,3,2,24,47.06,26,25.0,2,44.07
Roméo Lavia,481,9,15,11,5,24,48.0,30,75.0,6,51.72
Will Smallbone,241,4,7,0,2,9,52.94,10,50.0,1,52.63
Jorginho,372,7,7,5,1,16,50.0,17,25.0,1,47.22
Cheick Doucouré,243,7,7,6,3,14,56.0,15,25.0,1,51.72
Sammie Szmodics,753,14,12,4,8,23,40.35,28,35.71,5,39.44
Boubacar Kamara,256,6,6,5,5,13,41.94,16,42.86,3,42.11
Emiliano Buendía,72,7,3,0,0,6,50.0,6,0.0,0,46.15
Oliver Skipp,544,9,6,6,8,19,48.72,24,83.33,5,53.33
Kalvin Phillips,541,7,14,7,11,31,48.44,36,45.45,5,48.0
Mykhaylo Mudryk,158,7,2,0,1,7,35.0,9,33.33,2,34.62
James Ward-Prowse,404,7,5,5,5,7,50.0,10,42.86,3,47.62
Jeffrey Schlupp,108,10,2,0,1,3,50.0,6,42.86,3,46.15
Jean-Ricner Bellegarde,666,13,8,6,7,27,40.91,29,14.29,2,36.25
Bobby Decordova-Reid,255,10,3,0,4,9,37.5,11,33.33,2,36.67
Omari Hutchinson,1226,14,17,6,5,65,40.37,71,31.58,6,39.44
Chiquinho,12,1,0,0,0,0,0.0,0,0.0,0,0.0
Harvey Elliott,14,2,1,0,0,1,100.0,1,0.0,0,100.0
Luis Guilherme,21,2,0,0,0,2,66.67,2,0.0,0,50.0
Massimo Luongo,155,5,5,2,2,7,58.33,8,100.0,1,61.54
Daniel Podence,46,2,0,0,0,4,80.0,4,0.0,0,66.67
Wes Burns,575,12,7,5,5,21,45.65,24,20.0,3,39.34
Renato Veiga,184,7,9,1,2,13,44.83,16,50.0,3,45.71
Rodrigo Gomes,279,9,8,1,3,13,50.0,15,50.0,2,50.0
Harrison Reed,89,8,5,1,2,7,46.67,8,33.33,1,44.44
Jack Harrison,673,13,11,4,11,33,43.42,35,40.0,2,43.21
Chiedozie Ogbene,240,5,7,1,3,15,62.5,16,14.29,1,51.61
Boubakary Soumaré,478,9,12,3,5,24,57.14,30,75.0,6,60.0
Tim Iroegbunam,382,6,18,8,4,29,50.0,34,83.33,5,53.13
Mads Roerslev,472,11,6,2,14,13,39.39,18,83.33,5,46.15
Mats Wieffer,409,11,18,5,11,26,48.15,40,63.64,14,52.63
Lamare Bogarde,214,3,8,1,3,14,48.28,15,50.0,1,48.39
Mason Mount,237,7,6,0,0,10,38.46,11,14.29,1,33.33
Jaden Philogene-Bidace,329,11,11,3,1,23,50.0,23,0.0,0,45.1
Jakub Moder,19,2,0,0,2,0,0.0,0,0.0,0,0.0
Lesley Ugochukwu,209,6,5,2,1,9,42.86,12,75.0,3,48.0
Kiernan Dewsbury-Hall,68,5,0,1,2,2,50.0,2,0.0,0,50.0
Myles Lewis-Skelly,22,2,1,0,1,1,100.0,1,0.0,0,100.0
Frank Onyeka,28,2,0,0,0,0,0.0,0,0.0,0,0.0
Marcus Harness,43,2,1,0,1,1,20.0,1,0.0,0,20.0
Samuel Amo-Ameyaw,26,2,1,0,0,3,33.33,3,0.0,0,30.0
Scott McTominay,22,2,0,0,1,0,0.0,1,100.0,1,25.0
Danilo,15,1,0,0,0,1,25.0,1,0.0,0,25.0
Ryan Sessegnon,12,1,0,1,1,0,0.0,0,0.0,0,0.0
Ryan Fraser,304,7,6,1,8,12,66.67,14,40.0,2,60.87
Yunus Konak,26,4,1,0,0,1,12.5,3,50.0,2,25.0
James McAtee,2,2,0,0,0,0,0.0,0,0.0,0,0.0
Harrison Armstrong,2,2,0,0,0,1,25.0,1,0.0,0,25.0
