Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd
Joshua King,MF,1,11,0,0,0.0,0.0,0,0.0,0,2
Justin Kluivert,"MF,FW",15,900,21,36,2.0,5.1,5,-0.09999999999999964,9,215
Mateo Kovačić,MF,11,879,32,59,1.5,1.0,3,2.0,13,315
Dejan Kulusevski,"MF,FW",15,1140,67,65,3.6,1.7,3,1.3,31,369
Adam Lallana,MF,8,315,5,22,0.9,0.2,0,-0.2,8,59
Roméo Lavia,MF,9,477,2,17,0.7,0.2,0,-0.2,3,48
Mario Lemina,"MF,DF",15,1242,7,42,1.0,1.3,1,-0.30000000000000004,10,91
Jefferson Lerma,MF,11,667,5,39,0.9,0.4,0,-0.4,7,64
Sean Longstaff,MF,14,662,4,36,0.1,0.6,0,-0.6,1,100
Saša Lukić,MF,10,787,13,39,0.4,0.0,0,0.0,5,83
Massimo Luongo,MF,5,143,0,4,0.0,0.0,0,0.0,0,11
Alexis Mac Allister,MF,14,986,13,61,1.4,0.6,0,-0.6,13,188
James Maddison,MF,15,949,22,83,2.5,3.8,5,1.2000000000000002,21,350
Edmond-Paris Maghoma,MF,2,28,0,3,0.0,0.0,0,0.0,0,2
Kobbie Mainoo,MF,9,740,10,36,0.8,0.2,0,-0.2,4,106
Orel Mangala,MF,11,586,3,21,0.5,0.4,1,0.6,4,82
Gabriel Martinelli,"MF,FW",13,783,47,16,1.7,2.2,3,0.7999999999999998,11,214
Pape Matar Sarr,MF,15,764,11,44,1.2,1.2,0,-1.2,5,152
John McGinn,"MF,FW",13,887,14,41,2.0,1.8,0,-1.8,13,144
Dwight McNeil,"MF,FW",13,1140,31,60,3.5,0.9,3,2.1,32,305
Scott McTominay,MF,2,19,0,1,0.0,0.1,0,-0.1,0,3
Mikel Merino,MF,8,407,2,21,0.5,1.1,1,-0.10000000000000009,8,69
James Milner,MF,3,169,1,10,0.2,0.2,0,-0.2,1,31
Jakub Moder,MF,2,5,2,3,0.0,0.0,0,0.0,0,4
Sam Morsy,MF,14,1253,6,60,0.5,0.3,1,0.7,9,137
Mason Mount,"MF,FW",7,234,2,6,0.1,0.4,0,-0.4,0,35
Wilfred Ndidi,MF,15,1215,9,37,1.4,1.4,0,-1.4,6,141
Eddie Nketiah,"MF,FW",10,518,22,8,0.7,0.9,0,-0.9,1,103
Matheus Nunes,"MF,FW",11,440,24,22,1.9,0.2,0,-0.2,17,215
Ethan Nwaneri,"MF,FW",8,83,6,5,0.2,0.2,1,0.8,1,28
Christian Nørgaard,MF,12,974,5,50,0.4,1.4,1,-0.3999999999999999,2,110
Matt O'Riley,MF,5,221,3,10,0.4,0.7,1,0.30000000000000004,3,39
Amadou Onana,MF,10,703,8,23,0.1,1.6,2,0.3999999999999999,4,77
Frank Onyeka,MF,2,25,0,1,0.0,0.0,0,0.0,1,4
Cole Palmer,"MF,FW",15,1297,51,90,5.6,10.1,11,0.9000000000000004,30,342
Lucas Paquetá,MF,15,1034,9,61,1.5,2.5,2,-0.5,16,189
Thomas Partey,"MF,DF",14,1197,7,82,1.3,1.2,2,0.8,18,235
Andreas Pereira,MF,14,943,9,56,1.9,2.7,1,-1.7000000000000002,12,283
Kalvin Phillips,MF,7,537,4,27,0.1,0.3,0,-0.3,4,65
Daniel Podence,"MF,FW",2,48,1,2,0.0,0.0,0,0.0,1,7
Harrison Reed,MF,8,61,1,3,0.1,0.0,0,0.0,1,31
Declan Rice,MF,13,1102,35,79,2.7,0.9,0,-0.9,12,271
Rodri,MF,2,65,0,4,0.0,0.0,0,0.0,1,24
Guido Rodríguez,MF,14,823,2,27,0.1,0.1,0,-0.1,1,51
Morgan Rogers,"MF,FW",15,1221,45,50,3.2,3.2,4,0.7999999999999998,22,231
Ibrahim Sangaré,MF,3,212,0,8,0.0,0.0,0,0.0,1,20
Pablo Sarabia,"MF,FW",5,181,4,12,0.4,1.4,1,-0.3999999999999999,4,40
Jeremy Sarmiento,MF,1,9,0,0,0.0,0.0,0,0.0,0,2
Ismaila Sarr,"MF,FW",15,826,25,23,2.3,2.0,1,-1.0,13,169
Jeffrey Schlupp,"MF,DF",10,92,3,3,0.1,0.1,0,-0.1,1,37
Alex Scott,MF,8,263,5,32,0.2,0.1,0,-0.1,4,58
Ryan Sessegnon,MF,1,5,0,0,0.0,0.0,0,0.0,0,1
Bernardo Silva,"MF,FW",15,1196,56,70,3.7,2.4,1,-1.4,18,481
Eric da Silva Moreira,"MF,DF",2,30,1,0,0.0,0.0,0,0.0,0,2
Oliver Skipp,MF,9,547,10,18,0.2,0.0,0,0.0,4,36
William Smallbone,MF,4,241,2,8,0.3,0.3,0,-0.3,1,72
Emile Smith Rowe,MF,15,1068,35,73,0.9,2.2,3,0.7999999999999998,6,265
Carlos Soler,MF,12,552,7,25,0.7,0.7,0,-0.7,7,97
Tomáš Souček,MF,14,985,3,37,0.5,2.7,4,1.2999999999999998,5,124
Boubakary Soumaré,MF,9,475,3,20,0.0,0.1,0,-0.1,2,39
Jay Stansfield,MF,1,1,0,0,0.0,0.0,0,0.0,0,0
Raheem Sterling,"MF,FW",6,148,10,6,0.2,0.5,0,-0.5,1,52
Kamaldeen Sulemana,"MF,FW",5,50,4,0,0.0,0.0,0,0.0,0,11
Dominik Szoboszlai,MF,14,950,31,45,1.7,1.9,1,-0.8999999999999999,12,238
Jack Taylor,MF,10,291,6,23,0.5,0.4,0,-0.4,5,41
Youri Tielemans,MF,15,1301,18,104,3.8,1.4,0,-1.4,17,245
Sandro Tonali,MF,13,651,5,21,0.3,1.0,0,-1.0,2,94
Conor Townsend,MF,1,1,0,0,0.0,0.0,0,0.0,0,1
Ryan Trevitt,MF,1,4,0,0,0.0,0.0,0,0.0,0,1
Manuel Ugarte Ribeiro,MF,10,506,7,20,0.5,0.0,0,0.0,1,53
Lesley Ugochukwu,MF,6,211,5,3,0.2,0.2,0,-0.2,1,16
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,0,2
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,0,44
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,2,2
James Ward-Prowse,MF,1,18,1,4,0.0,0.0,0,0.0,2,44
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,0,2
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,0,44
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,2,2
James Ward-Prowse,MF,6,379,1,16,0.1,0.1,0,-0.1,2,44
Adam Wharton,MF,8,622,6,61,0.6,0.2,0,-0.2,11,109
Mats Wieffer,MF,11,413,4,26,0.6,0.3,0,-0.3,0,61
Joe Willock,"MF,FW",12,451,16,20,1.1,0.5,0,-0.5,2,109
Harry Winks,MF,11,865,12,59,1.0,0.2,0,-0.2,3,98
Yehor Yarmoliuk,MF,11,322,3,15,0.1,0.4,0,-0.4,4,74
Ryan Yates,MF,15,1124,12,30,0.7,1.6,1,-0.6000000000000001,3,179
Martin Ødegaard,MF,8,665,24,74,1.5,1.8,1,-0.8,25,213
