Player,Pos,MP,Min,PrgC,PrgP,xAG,xG,Gls,Gls-xG,PPA,Att 3rd,Name,Minutes played,Appearances,Tackles,Interceptions,Clearances,Ground duels won,Ground duels won %,Total duels won,Aerial duels won %,Aerial duels won,Total duels won %
Christian Eriksen,MF,9,507,4,27,1.7,0.1,0,-0.1,1,113,Christian Eriksen,515,9,9,4,5,11,50.0,12,20.0,1,44.44
Bruno Fernandes,MF,15,1249,33,106,3.7,4.4,3,-1.4000000000000004,21,391,Bruno Fernandes,1253,15,32,11,14,60,50.0,70,41.67,10,48.61
Mateus Fernandes,MF,14,1055,34,62,1.1,1.6,1,-0.6000000000000001,9,187,Mateus Fernandes,1059,14,36,7,13,76,53.15,80,50.0,4,52.98
Enzo Fernández,MF,14,972,12,61,2.3,1.5,3,1.5,10,249,Enzo Fernández,970,14,32,5,8,53,50.96,56,20.0,3,47.06
Phil Foden,"MF,FW",10,630,15,34,2.2,1.4,0,-1.4,15,260,Phil Foden,629,10,1,3,2,21,47.73,22,25.0,1,45.83
Idrissa Gana Gueye,MF,13,980,13,58,0.6,0.7,0,-0.7,5,131,Idrissa Gana Gueye,984,13,41,13,7,61,52.14,70,64.29,9,53.44
Morgan Gibbs-White,MF,11,843,26,44,1.6,1.4,2,0.6000000000000001,9,206,Morgan Gibbs-White,851,11,15,7,8,43,44.33,56,43.33,13,44.09
Billy Gilmour,MF,2,98,2,11,0.0,0.1,0,-0.1,2,13,Billy Gilmour,97,2,3,0,1,7,63.64,7,0.0,0,63.64
João Gomes,MF,15,1267,28,62,0.3,1.1,2,0.8999999999999999,7,164,João Gomes,1273,15,49,11,10,76,46.34,80,23.53,4,44.2
Ryan Gravenberch,MF,14,1235,30,73,1.3,0.6,0,-0.6,13,192,Ryan Gravenberch,1236,14,26,28,15,65,59.63,77,85.71,12,62.6
Luis Guilherme,MF,2,13,0,0,0.0,0.0,0,0.0,0,5,Luis Guilherme,21,2,0,0,0,2,66.67,2,0.0,0,50.0
Bruno Guimarães,MF,15,1332,19,96,1.6,0.9,0,-0.9,21,207,Bruno Guimarães,1335,15,33,13,10,111,56.63,116,41.67,5,55.77
